name;id;name_type;class;mass;fall;year;lat;long;geolocation
Aztec;4913;Valid;L6;2830;Fell;1938;36.8;-108;(36.8, -108.0)
Bachmut;4917;Valid;L6;18000;Fell;1814;48.6;38;(48.6, 38.0)
Bahjoi;4922;Valid;Iron, IAB-sLL;10322;Fell;1934;2.848.333;78.5;(28.48333, 78.5)
Bald Mountain;4925;Valid;L4;3700;Fell;1929;3.596.667;-8.248.333;(35.96667, -82.48333)
Baldwyn;4926;Valid;L6;345;Fell;1922;34.5;-8.866.667;(34.5, -88.66667)
Bali;4928;Valid;CV3;1000;Fell;1907;538.333;1.638.333;(5.38333, 16.38333)
Ban Rong Du;4934;Valid;Iron, ungrouped;16700;Fell;1993;1.666.667;10.118.333;(16.66667, 101.18333)
Bandong;4935;Valid;LL6;11500;Fell;1871;-691.667;107.6;(-6.91667, 107.6)
Bansur;4936;Valid;L6;15000;Fell;1892;27.7;7.633.333;(27.7, 76.33333)
Banswal;4937;Valid;L5;14;Fell;1913;30.4;78.2;(30.4, 78.2)
Banten;4938;Valid;CM2;629;Fell;1933;-633.333;106;(-6.33333, 106.0)
Barbotan;4942;Valid;H5;6400;Fell;1790;43.95;-0.05;(43.95, -0.05)
Barcelona (stone);4944;Valid;OC;NA;Fell;1704;4.136.667;216.667;(41.36667, 2.16667)
Barea;4946;Valid;Mesosiderite-A1;3200;Fell;1842;4.238.333;-2.5;(42.38333, -2.5)
Barnaul;4947;Valid;H5;23.2;Fell;1904;5.273.333;8.408.333;(52.73333, 84.08333)
Barntrup;4948;Valid;LL4;17;Fell;1886;52;9.1;(52.0, 9.1)
Baroti;4949;Valid;L6;4500;Fell;1910;3.161.667;76.8;(31.61667, 76.8)
Barwell;4954;Valid;L5;44000;Fell;1965;5.256.528;-133.972;(52.56528, -1.33972)
Bassikounou;44876;Valid;H5;29560;Fell;2006;1.578.333;-5.9;(15.78333, -5.9)
Baszk¢wka;4957;Valid;L5;15500;Fell;1994;5.203.333;2.093.583;(52.03333, 20.93583)
Bath;4974;Valid;H4;21000;Fell;1892;4.541.667;-9.831.667;(45.41667, -98.31667)
Bath Furnace;4975;Valid;L6;86000;Fell;1902;38.25;-83.75;(38.25, -83.75)
Battle Mountain;56133;Valid;L6;2900;Fell;2012;4.066.813;-11.718.913;(40.66813, -117.18913)
Bawku;4976;Valid;LL5;1557;Fell;1989;1.108.333;-0.18333;(11.08333, -0.18333)
Baxter;4977;Valid;L6;611;Fell;1916;36.75;-93.5;(36.75, -93.5)
Beardsley;4984;Valid;H5;16000;Fell;1929;39.8;-101.2;(39.8, -101.2)
Beaver Creek;4986;Valid;H5;14000;Fell;1893;5.116.667;-11.733.333;(51.16667, -117.33333)
Beddgelert;4993;Valid;H5;794;Fell;1949;5.301.667;-4.1;(53.01667, -4.1)
Bells;5005;Valid;C2-ung;375;Fell;1961;33.6;-9.646.667;(33.6, -96.46667)
Belville;5009;Valid;OC;NA;Fell;1937;-3.233.333;-6.486.667;(-32.33333, -64.86667)
Benares (a);5011;Valid;LL4;3700;Fell;1798;2.536.667;8.291.667;(25.36667, 82.91667)
Benguerir;30443;Valid;LL6;25000;Fell;2004;32.25;-8.15;(32.25, -8.15)
Beni M'hira;5018;Valid;L6;19000;Fell;2001;3.286.667;10.8;(32.86667, 10.8)
Benld;5021;Valid;H6;1770.5;Fell;1938;3.908.333;-89.15;(39.08333, -89.15)
Benoni;5023;Valid;H6;3880;Fell;1943;-2.616.667;2.841.667;(-26.16667, 28.41667)
Bensour;5024;Valid;LL6;45000;Fell;2002;30;-7;(30.0, -7.0)
Benton;5026;Valid;LL6;2840;Fell;1949;45.95;-67.55;(45.95, -67.55)
Berduc;48975;Valid;L6;270;Fell;2008;-31.91;-5.832.833;(-31.91, -58.32833)
BÇrÇba;5028;Valid;Eucrite-mmict;18000;Fell;1924;11.65;-3.65;(11.65, -3.65)
Berlanguillas;5029;Valid;L6;1440;Fell;1811;4.168.333;-3.8;(41.68333, -3.8)
Berthoud;47355;Valid;Eucrite-mmict;960;Fell;2004;4.030.583;-10.502.325;(40.30583, -105.02325)
Bethlehem;5032;Valid;H;13.9;Fell;1859;4.253.333;-7.383.333;(42.53333, -73.83333)
Beuste;5034;Valid;L5;2000;Fell;1859;4.321.667;-0.23333;(43.21667, -0.23333)
Beyrout;5035;Valid;LL3.8;1100;Fell;1921;3.388.333;35.5;(33.88333, 35.5)
Bhagur;5037;Valid;L6;18;Fell;1877;2.088.333;7.483.333;(20.88333, 74.83333)
Bhawad;36591;Valid;LL6;678;Fell;2002;2.650.833;7.311.528;(26.50833, 73.11528)
Bherai;5039;Valid;L6;100;Fell;1893;2.083.333;7.146.667;(20.83333, 71.46667)
Bhola;5040;Valid;LL3-6;1047;Fell;1940;2.268.333;90.65;(22.68333, 90.65)
Bholghati;5041;Valid;Howardite;2500;Fell;1905;2.208.333;86.9;(22.08333, 86.9)
Bialystok;5042;Valid;Eucrite-pmict;4000;Fell;1827;53.1;23.2;(53.1, 23.2)
Bielokrynitschie;5043;Valid;H4;1900;Fell;1887;5.013.333;2.716.667;(50.13333, 27.16667)
Bilanga;5045;Valid;Diogenite;25000;Fell;1999;12.45;-0.08333;(12.45, -0.08333)
Binningup;5051;Valid;H5;488.1;Fell;1984;-3.315.639;11.567.639;(-33.15639, 115.67639)
Birni N'konni;5056;Valid;H4;560;Fell;1923;1.376.667;5.3;(13.76667, 5.3)
Bishopville;5059;Valid;Aubrite;6000;Fell;1843;3.416.667;-8.028.333;(34.16667, -80.28333)
Bishunpur;5060;Valid;LL3.15;1039;Fell;1895;2.538.333;82.6;(25.38333, 82.6)
Bjelaja Zerkov;5063;Valid;H6;1850;Fell;1796;4.978.333;3.016.667;(49.78333, 30.16667)
Bjurbîle;5064;Valid;L/LL4;330000;Fell;1899;60.4;25.8;(60.4, 25.8)
Black Moshannan Park;5065;Valid;L5;705;Fell;1941;4.091.667;-7.808.333;(40.91667, -78.08333)
Blackwell;5068;Valid;L5;2381;Fell;1906;3.683.333;-9.733.333;(36.83333, -97.33333)
Blanket;5071;Valid;L6;5100;Fell;1909;3.183.333;-9.883.333;(31.83333, -98.83333)
Blansko;5072;Valid;H6;470;Fell;1833;4.936.667;1.663.333;(49.36667, 16.63333)
Bloomington;5076;Valid;LL6;67.8;Fell;1938;40.48;-8.900.417;(40.48, -89.00417)
Bo Xian;5090;Valid;LL3.9;7500;Fell;1977;3.383.333;11.583.333;(33.83333, 115.83333)
Bocas;5093;Valid;L6;56;Fell;1804;23;-102;(23.0, -102.0)
Bogou;5097;Valid;Iron, IAB-MG;8800;Fell;1962;12.5;0.7;(12.5, 0.7)
Boguslavka;5098;Valid;Iron, IIAB;256000;Fell;1916;44.55;13.163.333;(44.55, 131.63333)
Borgo San Donino;5110;Valid;LL6;1676;Fell;1808;4.486.667;10.05;(44.86667, 10.05)
Bori;5111;Valid;L6;8600;Fell;1894;21.95;7.803.333;(21.95, 78.03333)
Boriskino;5112;Valid;CM2;1342;Fell;1930;5.423.333;5.248.333;(54.23333, 52.48333)
Borkut;5113;Valid;L5;7000;Fell;1852;48.15;2.428.333;(48.15, 24.28333)
Borodino;5114;Valid;H5;500;Fell;1812;5.546.667;3.586.667;(55.46667, 35.86667)
Botschetschki;5117;Valid;L4;614;Fell;1823;5.133.333;3.388.333;(51.33333, 33.88333)
Boumdeid (2003);57168;Valid;L6;190;Fell;2003;1.771.067;-113.715;(17.71067, -11.3715)
Boumdeid (2011);57167;Valid;L6;3599;Fell;2011;1.717.493;-1.134.133;(17.17493, -11.34133)
Bovedy;5121;Valid;L3;5460;Fell;1969;5.456.667;-633.333;(54.56667, -6.33333)
Bradford Woods;5128;Valid;L;762;Fell;1886;40.5;-8.008.333;(40.5, -80.08333)
Braunau;5133;Valid;Iron, IIAB;39000;Fell;1847;50.6;16.3;(50.6, 16.3)
Breitscheid;5134;Valid;H5;1500;Fell;1956;5.066.694;818.361;(50.66694, 8.18361)
Bremervîrde;5135;Valid;H/L3.9;7250;Fell;1855;53.4;9.1;(53.4, 9.1)
Brient;5140;Valid;Eucrite-pmict;219;Fell;1933;5.213.333;5.931.667;(52.13333, 59.31667)
Bruderheim;5156;Valid;L6;303000;Fell;1960;53.9;-11.288.333;(53.9, -112.88333)
Bukhara;30448;Valid;CV3;5300;Fell;2001;3.977.978;6.460.035;(39.77978, 64.60035)
Bulls Run;5163;Valid;Iron?;2250;Fell;1964;NA;NA;NA
Bunburra Rockhole;48653;Valid;Eucrite;324;Fell;2007;-31.35;129.19;(-31.35, 129.19)
Bununu;5165;Valid;Howardite;357;Fell;1942;1.001.667;958.333;(10.01667, 9.58333)
Bur-Gheluai;5169;Valid;H5;120000;Fell;1919;5;48;(5.0, 48.0)
Burnwell;5175;Valid;H4-an;1504;Fell;1990;3.762.194;-8.223.722;(37.62194, -82.23722)
Bursa;5177;Valid;L6;25000;Fell;1946;40.2;2.923.333;(40.2, 29.23333)
Buschhof;5178;Valid;L6;5000;Fell;1863;46.45;2.578.333;(46.45, 25.78333)
Bustee;5181;Valid;Aubrite;1500;Fell;1852;2.678.333;8.283.333;(26.78333, 82.83333)
Butsura;5183;Valid;H6;29000;Fell;1861;2.708.333;8.408.333;(27.08333, 84.08333)
Buzzard Coulee;48654;Valid;H4;41000;Fell;2008;52.996;-10.984.817;(52.996, -109.84817)
Cabezo de Mayo;5185;Valid;L/LL6;25000;Fell;1870;3.798.333;-116.667;(37.98333, -1.16667)
Cabin Creek;5186;Valid;Iron, IIIAB;48500;Fell;1886;35.5;-93.5;(35.5, -93.5)
Cacak;5187;Valid;OC;212;Fell;1919;4.383.889;2.033.333;(43.83889, 20.33333)
Cali;45976;Valid;H/L4;478;Fell;2007;3.405;-76.51;(3.405, -76.51)
Calivo;5200;Valid;Stone-uncl;2400;Fell;1916;11.75;12.233.333;(11.75, 122.33333)
Campos Sales;5249;Valid;L5;23680;Fell;1991;-703.333;-4.016.667;(-7.03333, -40.16667)
Äanakkale;5250;Valid;L6;4000;Fell;1964;39.8;26.6;(39.8, 26.6)
Ca§ellas;5251;Valid;H4;945;Fell;1861;41.25;166.667;(41.25, 1.66667)
Cangas de Onis;5252;Valid;H5;34000;Fell;1866;4.338.333;-5.15;(43.38333, -5.15)
Canon City;5253;Valid;H6;1400;Fell;1973;3.847.028;-10.524.139;(38.47028, -105.24139)
Cape Girardeau;5260;Valid;H6;2300;Fell;1846;3.726.667;-8.958.333;(37.26667, -89.58333)
Capilla del Monte;5264;Valid;H6;750;Fell;1934;-3.088.333;-64.55;(-30.88333, -64.55)
Carancas;45817;Valid;H4-5;342;Fell;2007;-1.666.444;-6.904.389;(-16.66444, -69.04389)
Caratash;5265;Valid;LL6;8;Fell;1902;38.5;27;(38.5, 27.0)
Castalia;5291;Valid;H5;7300;Fell;1874;3.608.333;-7.806.667;(36.08333, -78.06667)
Castel Berardenga;5292;Valid;Stone-uncl;NA;Fell;1791;43.35;11.5;(43.35, 11.5)
Castine;5293;Valid;L6;94;Fell;1848;4.438.333;-68.75;(44.38333, -68.75)
Castrovillari;5295;Valid;Stone-uncl;15000;Fell;1583;39.8;16.2;(39.8, 16.2)
Caswell County;5296;Valid;OC;1360;Fell;1810;36.5;-79.25;(36.5, -79.25)
Ceniceros;5306;Valid;L3.7;1025;Fell;1988;2.646.667;-10.523.333;(26.46667, -105.23333)
Centerville;5307;Valid;H5;45.6;Fell;1956;43.2;-9.691.667;(43.2, -96.91667)
Cereseto;5308;Valid;H5;6460;Fell;1840;4.508.333;8.3;(45.08333, 8.3)
Chadong;5313;Valid;L6;3700;Fell;1998;2.853.333;10.931.667;(28.53333, 109.31667)
Chail;5314;Valid;H6;0.5;Fell;1814;2.536.667;8.166.667;(25.36667, 81.66667)
Chainpur;5315;Valid;LL3.4;8200;Fell;1907;25.85;8.348.333;(25.85, 83.48333)
Chajari;5316;Valid;L5;18300;Fell;1933;-3.078.333;-58.05;(-30.78333, -58.05)
Chandakapur;5320;Valid;L5;8800;Fell;1838;2.026.667;7.601.667;(20.26667, 76.01667)
Chandpur;5321;Valid;L6;1100;Fell;1885;2.728.333;79.05;(27.28333, 79.05)
Changde;5322;Valid;H5;1810;Fell;1977;2.908.333;111.75;(29.08333, 111.75)
Chantonnay;5325;Valid;L6;31500;Fell;1812;4.668.333;1.05;(46.68333, 1.05)
Charlotte;5328;Valid;Iron, IVA;4300;Fell;1835;3.616.667;-8.733.333;(36.16667, -87.33333)
Charsonville;5329;Valid;H6;27000;Fell;1810;4.793.333;156.667;(47.93333, 1.56667)
Charwallas;5330;Valid;H6;12000;Fell;1834;2.948.333;75.5;(29.48333, 75.5)
Chassigny;5331;Valid;Martian (chassignite);4000;Fell;1815;4.771.667;536.667;(47.71667, 5.36667)
ChÉteau-Renard;5332;Valid;L6;30000;Fell;1841;4.793.333;291.667;(47.93333, 2.91667)
Chaves;5334;Valid;Howardite;2945;Fell;1925;4.193.333;-746.667;(41.93333, -7.46667)
Chela;5338;Valid;H4;2936;Fell;1988;-366.667;32.5;(-3.66667, 32.5)
Chelyabinsk;57165;Valid;LL5;100000;Fell;2013;5.481.667;6.111.667;(54.81667, 61.11667)
Chergach;47347;Valid;H5;100000;Fell;2007;2.369.639;-501.472;(23.69639, -5.01472)
Chernyi Bor;5339;Valid;H4;6000;Fell;1964;53.7;30.1;(53.7, 30.1)
Cherokee Springs;5340;Valid;LL6;8400;Fell;1933;3.503.333;-8.188.333;(35.03333, -81.88333)
Chervettaz;5341;Valid;L5;705;Fell;1901;46.55;681.667;(46.55, 6.81667)
Chervony Kut;5342;Valid;Eucrite-mmict;1700;Fell;1939;5.083.333;34;(50.83333, 34.0)
Chetrinahatti;5344;Valid;Stone-uncl;72;Fell;1880;14.5;76.5;(14.5, 76.5)
Chiang Khan;5345;Valid;H6;367;Fell;1981;17.9;10.163.333;(17.9, 101.63333)
Chicora;5349;Valid;LL6;303;Fell;1938;4.093.333;-7.973.333;(40.93333, -79.73333)
Chisenga;5355;Valid;Iron, IIIAB;3920;Fell;1988;-1.005.944;33.395;(-10.05944, 33.395)
Chitado;5356;Valid;L6;NA;Fell;1966;-17.35;1.396.667;(-17.35, 13.96667)
Chitenay;5357;Valid;L6;4000;Fell;1978;4.747.083;0.97667;(47.47083, 0.97667)
Cilimus;5364;Valid;L5;1600;Fell;1979;-6.95;108.1;(-6.95, 108.1)
Claxton;5374;Valid;L6;1455;Fell;1984;321.025;-8.187.278;(32.1025, -81.87278)
Clohars;5383;Valid;L4;48.6;Fell;1822;NA;NA;NA
Colby (Wisconsin);5395;Valid;L6;104000;Fell;1917;44.9;-9.028.333;(44.9, -90.28333)
Cold Bokkeveld;5397;Valid;CM2;5200;Fell;1838;-3.313.333;1.938.333;(-33.13333, 19.38333)
Coleman;5401;Valid;L6;469;Fell;1994;4.376.111;-8.450.778;(43.76111, -84.50778)
Collescipoli;5403;Valid;H5;5000;Fell;1890;4.253.333;1.261.667;(42.53333, 12.61667)
Conquista;5418;Valid;H4;20350;Fell;1965;-19.85;-47.55;(-19.85, -47.55)
Cosina;5451;Valid;H5;1200;Fell;1844;2.116.667;-10.086.667;(21.16667, -100.86667)
Cranganore;5465;Valid;L6;1460;Fell;1917;10.2;7.626.667;(10.2, 76.26667)
Crescent;5470;Valid;CM2;78.4;Fell;1936;35.95;-9.758.333;(35.95, -97.58333)
Cronstad;5474;Valid;H5;3650;Fell;1877;-27.7;27.3;(-27.7, 27.3)
Cross Roads;5476;Valid;H5;167;Fell;1892;3.563.333;-7.813.333;(35.63333, -78.13333)
Crumlin;5477;Valid;L5;4255;Fell;1902;5.461.667;-621.667;(54.61667, -6.21667)
Cumberland Falls;5496;Valid;Aubrite;17000;Fell;1919;3.683.333;-84.35;(36.83333, -84.35)
Cynthiana;5500;Valid;L/LL4;6000;Fell;1877;38.4;-84.25;(38.4, -84.25)
Dahmani;5504;Valid;LL6;18000;Fell;1981;3.561.667;883.333;(35.61667, 8.83333)
Dandapur;5511;Valid;L6;5650;Fell;1878;2.691.667;8.396.667;(26.91667, 83.96667)
Daniel's Kuil;5513;Valid;EL6;1064;Fell;1868;-28.2;2.456.667;(-28.2, 24.56667)
Danville;5514;Valid;L6;2000;Fell;1868;34.4;-8.706.667;(34.4, -87.06667)
Darmstadt;6603;Valid;H5;100;Fell;1804;4.986.667;8.65;(49.86667, 8.65)
Dashoguz;6604;Valid;H5;7000;Fell;1998;4.198.444;59.685;(41.98444, 59.685)
Daule;51559;Valid;L5;6580;Fell;2008;-187.089;-7.995.756;(-1.87089, -79.95756)
De Cewsville;6621;Valid;H6;340;Fell;1887;43;-80;(43.0, -80.0)
Deal;6634;Valid;L6;28;Fell;1829;40.25;-74;(40.25, -74.0)
Delhi;6642;Valid;L5;0.8;Fell;1897;2.856.667;77.25;(28.56667, 77.25)
Demina;6649;Valid;L6;16400;Fell;1911;5.146.667;8.476.667;(51.46667, 84.76667)
Denver;6660;Valid;L6;230;Fell;1967;397.825;-10.493.056;(39.7825, -104.93056)
Dergaon;6664;Valid;H5;12500;Fell;2001;2.668.333;9.386.667;(26.68333, 93.86667)
Desuri;6693;Valid;H6;25400;Fell;1962;2.573.333;7.361.667;(25.73333, 73.61667)
Devgaon;6694;Valid;H3.8;12000;Fell;2001;19;81;(19.0, 81.0)
Devri-Khera;6696;Valid;L6;1140;Fell;1994;24.225;76.525;(24.225, 76.525)
Dhajala;6698;Valid;H3.8;45000;Fell;1976;2.237.778;7.142.722;(22.37778, 71.42722)
Dharwar;6699;Valid;OC;1800;Fell;1848;1.488.333;75.6;(14.88333, 75.6)
Dhurmsala;7640;Valid;LL6;32000;Fell;1860;3.223.333;7.646.667;(32.23333, 76.46667)
Didim;47350;Valid;H3-5;3396;Fell;2007;3.735.172;2.732.997;(37.35172, 27.32997)
Diep River;7642;Valid;L6;1000;Fell;1906;-33.75;1.856.667;(-33.75, 18.56667)
Distrito Quebracho;7649;Valid;H4;400;Fell;1957;-3.188.333;-6.046.667;(-31.88333, -60.46667)
Djati-Pengilon;7652;Valid;H6;166000;Fell;1884;-7.5;111.5;(-7.5, 111.5)
Djermaia;7656;Valid;H;3950;Fell;1961;1.273.333;15.05;(12.73333, 15.05)
Djoumine;7657;Valid;H5-6;10000;Fell;1999;36.95;9.55;(36.95, 9.55)
Dokachi;7658;Valid;H5;3840;Fell;1903;23.5;9.033.333;(23.5, 90.33333)
Dolgovoli;7659;Valid;L6;1600;Fell;1864;50.75;25.3;(50.75, 25.3)
Domanitch;7661;Valid;L5;438;Fell;1907;40;29;(40.0, 29.0)
Dong Ujimqin Qi;7706;Valid;Mesosiderite;128800;Fell;1995;45.5;11.903.333;(45.5, 119.03333)
Donga Kohrod;7707;Valid;H6;230;Fell;1899;2.186.667;82.45;(21.86667, 82.45)
Dongtai;7708;Valid;LL6;5500;Fell;1970;3.291.667;12.078.333;(32.91667, 120.78333)
Doroninsk;7718;Valid;H5-7;3891;Fell;1805;51.2;112.3;(51.2, 112.3)
Dosso;7722;Valid;L6;1250;Fell;1962;13.05;316.667;(13.05, 3.16667)
Douar Mghila;7723;Valid;LL6;1161;Fell;1932;3.233.333;-6.3;(32.33333, -6.3)
Dowa;7725;Valid;Stone-uncl;642;Fell;1976;-1.366.667;3.391.667;(-13.66667, 33.91667)
Drake Creek;7728;Valid;L6;5000;Fell;1827;36.4;-86.5;(36.4, -86.5)
Dresden (Ontario);7731;Valid;H6;47700;Fell;1939;42.52;-82.26;(42.52, -82.26)
Dubrovnik;7736;Valid;L3-6;1900;Fell;1951;4.245.833;1.844.167;(42.45833, 18.44167)
Dunbogan;7743;Valid;L6;30;Fell;1999;-3.166.667;15.283.333;(-31.66667, 152.83333)
Dundrum;7745;Valid;H5;2270;Fell;1865;52.55;-803.333;(52.55, -8.03333)
Dunhua;7749;Valid;Stone-uncl;NA;Fell;1976;4.333.333;128.25;(43.33333, 128.25)
Durala;7750;Valid;L6;13200;Fell;1815;30.3;7.663.333;(30.3, 76.63333)
Duruma;7752;Valid;L6;577;Fell;1853;-4;39.5;(-4.0, 39.5)
Duwun;7754;Valid;L6;2117;Fell;1943;3.343.333;12.726.667;(33.43333, 127.26667)
Dwaleni;7755;Valid;H4-6;3230;Fell;1970;-27.2;3.131.667;(-27.2, 31.31667)
Dyalpur;7757;Valid;Ureilite;300;Fell;1872;26.25;82;(26.25, 82.0)
Dyarrl Island;7758;Valid;Mesosiderite-A1;188;Fell;1933;-3;151;(-3.0, 151.0)
Eagle;7760;Valid;EL6;10000;Fell;1947;4.078.167;-9.647.167;(40.78167, -96.47167)
Ehole;7774;Valid;H5;2400;Fell;1961;-17.3;1.583.333;(-17.3, 15.83333)
EichstÑdt;7775;Valid;H5;3000;Fell;1785;48.9;1.121.667;(48.9, 11.21667)
Ekeby;7776;Valid;H4;3336;Fell;1939;5.603.333;13;(56.03333, 13.0)
Ekh Khera;7777;Valid;H6;840;Fell;1916;2.826.667;7.878.333;(28.26667, 78.78333)
El Idrissia;7807;Valid;L6;10000;Fell;1989;3.441.667;3.25;(34.41667, 3.25)
El Paso de Aguila;45977;Valid;H5;17226;Fell;1977;25.37;-97.37;(25.37, -97.37)
El Tigre;7819;Valid;L6;5000;Fell;1993;1.996.722;-10.305.167;(19.96722, -103.05167)
Elbert;7822;Valid;LL6;680.5;Fell;1998;3.924.667;-10.458.817;(39.24667, -104.58817)
